Genres,Release_year,User_id,Original_Hours,year1,year2,year3,year4
Action,2000,76561197967445425,3094,2678,416,0,0
Action,2000,76561197985856321,3044,2678,366,0,0
Action,2000,76561197996330176,4007,2678,1329,0,0
Action,2000,76561198003688205,3421,2678,743,0,0
Action,2000,andrewjohn,4036,2678,1358,0,0
Action,2000,jiumohoo,5937,2678,2678,581,0
Action,2000,lizzygson,3574,2678,896,0,0
Action,2003,76561198040016388,2953,2678,275,0,0
Action,2003,76561198061354183,3058,2678,380,0,0
Action,2003,bigmushroom,3142,2678,464,0,0
Action,2003,shinomegami,8848,2678,2678,2678,814
Action,2004,edilsoncordeiro,3370,2678,692,0,0
Action,2004,tdesherek,3270,2678,592,0,0
Action,2004,1UK33Y,4460,2678,1782,0,0
Action,2004,26292919,2985,2678,307,0,0
Action,2004,76561197961234023,3210,2678,532,0,0
Action,2004,76561197977246575,2976,2678,298,0,0
Action,2004,76561197978871474,2833,2678,155,0,0
Action,2004,76561197979489134,4366,2678,1688,0,0
Action,2004,76561197979924366,2834,2678,156,0,0
Action,2004,76561197980089023,3061,2678,383,0,0
Action,2004,76561197982545852,4953,2678,2275,0,0
Action,2004,76561197984830126,5584,2678,2678,228,0
Action,2004,76561197986818258,2972,2678,294,0,0
Action,2004,76561197997316526,3383,2678,705,0,0
Action,2004,76561197997877997,3344,2678,666,0,0
Action,2004,76561198002009906,3973,2678,1295,0,0
Action,2004,76561198002170343,3484,2678,806,0,0
Action,2004,76561198002171489,2946,2678,268,0,0
Action,2004,76561198011616111,2802,2678,124,0,0
Action,2004,76561198015120093,3383,2678,705,0,0
Action,2004,76561198017618407,3083,2678,405,0,0
Action,2004,76561198018529675,2812,2678,134,0,0
Action,2004,76561198019112245,2832,2678,154,0,0
Action,2004,76561198025364734,3138,2678,460,0,0
Action,2004,76561198027093071,3433,2678,755,0,0
Action,2004,76561198027114566,6850,2678,2678,1494,0
Action,2004,76561198033292201,2988,2678,310,0,0
Action,2004,76561198044511328,2756,2678,78,0,0
Action,2004,Bran995461,3024,2678,346,0,0
Action,2004,GOBS14,4783,2678,2105,0,0
Action,2004,Greggs_place,3261,2678,583,0,0
Action,2004,ORIONSKZE,2965,2678,287,0,0
Action,2004,Rafske,5813,2678,2678,457,0
Action,2004,TADOW,2780,2678,102,0,0
Action,2004,TURTLESYEA,3836,2678,1158,0,0
Action,2004,TehMev,3490,2678,812,0,0
Action,2004,_itsbf3_,2897,2678,219,0,0
Action,2004,augriD,3894,2678,1216,0,0
Action,2004,awwyeahnah,2959,2678,281,0,0
Action,2004,crustyoldkiller,6477,2678,2678,1121,0
Action,2004,givemetheaids,3323,2678,645,0,0
Action,2004,jr10,3453,2678,775,0,0
Action,2004,mittensgalore,5103,2678,2425,0,0
Action,2004,pandaaus,4663,2678,1985,0,0
Action,2004,red-acted,2743,2678,65,0,0
Action,2004,technique1989,3673,2678,995,0,0
Action,2004,theoriginalmasta,7985,2678,2678,2629,0
Action,2004,what87,3249,2678,571,0,0
Action,2004,76561197977470391,8230,2678,2678,2678,196
Action,2006,stopgovtcorruption,3908,2678,1230,0,0
Action,2006,tankedout,3570,2678,892,0,0
Action,2008,SuNNZ,3163,2678,485,0,0
Action,2009,76561197969956494,5494,2678,2678,138,0
Action,2009,76561198014969917,4068,2678,1390,0,0
Action,2009,76561198016685643,3358,2678,680,0,0
Action,2009,76561198016934110,3313,2678,635,0,0
Action,2009,ILDHAM123,5023,2678,2345,0,0
Action,2009,Onemaponly,5464,2678,2678,108,0
Action,2009,SuNNZ,3545,2678,867,0,0
Action,2009,TKOZ,4405,2678,1727,0,0
Action,2009,dbsgptjd966,4740,2678,2062,0,0
Action,2009,dunnowhy54,3747,2678,1069,0,0
Action,2009,end978,3331,2678,653,0,0
Action,2009,kafei0328,3511,2678,833,0,0
Action,2009,lucifer666678,3149,2678,471,0,0
Action,2009,mittensgalore,4293,2678,1615,0,0
Action,2009,stopgovtcorruption,5713,2678,2678,357,0
Action,2009,vetal93rus,3048,2678,370,0,0
Action,2009,wirlom,3082,2678,404,0,0
Action,2009,76561197961702279,6115,2678,2678,759,0
Action,2009,76561198027046413,3260,2678,582,0,0
Action,2009,cywabcoylttdtabistsiaeyclalumb,3647,2678,969,0,0
Action,2010,TrippedSociety,3153,2678,475,0,0
Action,2010,76561198037072308,3110,2678,432,0,0
Action,2010,NedSilver,2918,2678,240,0,0
Action,2010,131312,3185,2678,507,0,0
Action,2010,756755557153145,5209,2678,2531,0,0
Action,2010,OdetteArt,3364,2678,686,0,0
Action,2011,76561197991055234,2795,2678,117,0,0
Action,2011,76561198026008283,2911,2678,233,0,0
Action,2011,76561198058539753,3242,2678,564,0,0
Action,2011,76561198072850898,2976,2678,298,0,0
Action,2011,76561198086698451,2707,2678,29,0,0
Action,2011,MaddyS99,4037,2678,1359,0,0
Action,2011,weherphere,3047,2678,369,0,0
Action,2011,76561198069163682,5408,2678,2678,52,0
Action,2011,UnethicalPanda,4131,2678,1453,0,0
Action,2011,ZombieBiscuit,2850,2678,172,0,0
Action,2011,poedgirl,6808,2678,2678,1452,0
Action,2012,3021Daniel,2790,2678,112,0,0
Action,2012,4801,3340,2678,662,0,0
Action,2012,76561197960478966,3488,2678,810,0,0
Action,2012,76561197969331617,3094,2678,416,0,0
Action,2012,76561197983402043,3028,2678,350,0,0
Action,2012,76561197990027470,3088,2678,410,0,0
Action,2012,76561197990792016,3159,2678,481,0,0
Action,2012,76561197992387090,3545,2678,867,0,0
Action,2012,76561198001175414,2712,2678,34,0,0
Action,2012,76561198013535175,3121,2678,443,0,0
Action,2012,76561198022829165,3551,2678,873,0,0
Action,2012,76561198026475629,3001,2678,323,0,0
Action,2012,76561198034829571,3252,2678,574,0,0
Action,2012,76561198038678880,2917,2678,239,0,0
Action,2012,76561198046868249,3039,2678,361,0,0
Action,2012,76561198054579724,3297,2678,619,0,0
Action,2012,76561198057953245,2730,2678,52,0,0
Action,2012,76561198058520509,3022,2678,344,0,0
Action,2012,76561198060457375,4728,2678,2050,0,0
Action,2012,76561198064619260,3903,2678,1225,0,0
Action,2012,76561198064765769,3516,2678,838,0,0
Action,2012,76561198066115780,3272,2678,594,0,0
Action,2012,76561198073641239,2891,2678,213,0,0
Action,2012,76561198074009738,3607,2678,929,0,0
Action,2012,76561198075906417,2800,2678,122,0,0
Action,2012,76561198086282677,3315,2678,637,0,0
Action,2012,76561198089664538,3034,2678,356,0,0
Action,2012,76561198092358480,2951,2678,273,0,0
Action,2012,76561198099625419,3727,2678,1049,0,0
Action,2012,76561198116741624,3725,2678,1047,0,0
Action,2012,76561198118542277,3485,2678,807,0,0
Action,2012,ANUSLUBE,3080,2678,402,0,0
Action,2012,Aussiefella_69,3864,2678,1186,0,0
Action,2012,BigDogSteeeeeeze,4881,2678,2203,0,0
Action,2012,CalvinHazard,3657,2678,979,0,0
Action,2012,Dayyyy,3651,2678,973,0,0
Action,2012,DemondSlayerV,2765,2678,87,0,0
Action,2012,Drxoid,4233,2678,1555,0,0
Action,2012,Fepa3,2821,2678,143,0,0
Action,2012,Fliqi,2934,2678,256,0,0
Action,2012,Francyum,3450,2678,772,0,0
Action,2012,Frostbyte568,2738,2678,60,0,0
Action,2012,Hallucifier,2905,2678,227,0,0
Action,2012,HueziiE,2844,2678,166,0,0
Action,2012,HunteR_au,3544,2678,866,0,0
Action,2012,ImYourGrandma,2824,2678,146,0,0
Action,2012,Jantoz,2839,2678,161,0,0
Action,2012,Jet_NineHundredAndTwentySeven,3218,2678,540,0,0
Action,2012,JuzzaSP,3274,2678,596,0,0
Action,2012,Kichia,2709,2678,31,0,0
Action,2012,KinGRaFiki,2846,2678,168,0,0
Action,2012,LapFucksTrax,3301,2678,623,0,0
Action,2012,LeZoidberg,3284,2678,606,0,0
Action,2012,NickMagnus,3053,2678,375,0,0
Action,2012,PBCharlie,3704,2678,1026,0,0
Action,2012,PiozZ,3409,2678,731,0,0
Action,2012,RadicalLapis,3346,2678,668,0,0
Action,2012,SMDA,2882,2678,204,0,0
Action,2012,ScorchingShadow,2733,2678,55,0,0
Action,2012,Sean630,4903,2678,2225,0,0
Action,2012,SkecksCSGO,3473,2678,795,0,0
Action,2012,Sp3ctre,4348,2678,1670,0,0
Action,2012,StelerForYou,2879,2678,201,0,0
Action,2012,T1TanZ,3436,2678,758,0,0
Action,2012,Tohic,3396,2678,718,0,0
Action,2012,Twat3021,4548,2678,1870,0,0
Action,2012,Warrfoxx,2932,2678,254,0,0
Action,2012,Wynnhann,3105,2678,427,0,0
Action,2012,XHarbor,2967,2678,289,0,0
Action,2012,Zapruda,3142,2678,464,0,0
Action,2012,andrewjohn,2805,2678,127,0,0
Action,2012,asixCSGO,2728,2678,50,0,0
Action,2012,bigHAZZApreb,4891,2678,2213,0,0
Action,2012,c1u,3330,2678,652,0,0
Action,2012,chungdogmillionaire,3544,2678,866,0,0
Action,2012,crustyoldkiller,5542,2678,2678,186,0
Action,2012,curtiits,2909,2678,231,0,0
Action,2012,de_reyals,3904,2678,1226,0,0
Action,2012,deoxidecsgo,2710,2678,32,0,0
Action,2012,dkzinhoo,5394,2678,2678,38,0
Action,2012,dzakuan,2705,2678,27,0,0
Action,2012,e54385991,6271,2678,2678,915,0
Action,2012,futhorc,2869,2678,191,0,0
Action,2012,gottabesaints,2695,2678,17,0,0
Action,2012,gusso10_,2715,2678,37,0,0
Action,2012,isis4ever,3025,2678,347,0,0
Action,2012,killer81KappaKappa,2729,2678,51,0,0
Action,2012,laurences2k,2724,2678,46,0,0
Action,2012,litoki,4378,2678,1700,0,0
Action,2012,mayaismywife,3369,2678,691,0,0
Action,2012,mewmeowmeowmew,3820,2678,1142,0,0
Action,2012,milliardovr,2871,2678,193,0,0
Action,2012,mmunchies,3143,2678,465,0,0
